# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_26_length_64407_cov_80.625591	19543	23442	+	1659.6	1051	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_26_length_64407_cov_80.625591	15947	19432	+	1292.6	813	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_46_length_40610_cov_91.837710	1090	3348	+	342.9	402	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_78_length_32324_cov_90.111532	19776	22448	+	541.9	549	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_66_length_34509_cov_93.199319	3031	5175	-	751.3	476	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_277_length_4543_cov_107.277174	2417	4399	+	505.0	447	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_14_length_87081_cov_92.841307	45599	47467	-	726.0	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_89_length_28735_cov_72.186661	26055	27998	+	312.9	262	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_142_length_19851_cov_99.002636	16832	19693	-	513.1	416	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_18_length_71546_cov_97.389896	21831	23594	+	548.1	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_1_length_176229_cov_94.921846	66527	67810	+	327.2	307	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_46_length_40610_cov_91.837710	5289	6815	+	272.9	280	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_53_length_37919_cov_94.349465	23815	25053	+	342.6	340	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_224_length_8765_cov_96.174925	6916	7926	+	187.0	201	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_23_length_66687_cov_84.946379	49431	50699	-	315.6	283	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_206_length_11091_cov_78.400036	3639	5075	-	553.8	378	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_101_length_27181_cov_88.554558	3612	4823	-	156.3	209	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
