locus_tag	ftype	length_bp	gene	EC_number	COG	product
DEOAGECF_00001	CDS	1281				hypothetical protein
DEOAGECF_00002	CDS	255				hypothetical protein
DEOAGECF_00003	CDS	585	yceC_1		COG2310	Stress response protein SCP2
DEOAGECF_00004	CDS	576	yceD_1		COG2310	General stress protein 16U
DEOAGECF_00005	CDS	267				hypothetical protein
DEOAGECF_00006	CDS	819				hypothetical protein
DEOAGECF_00007	CDS	756				hypothetical protein
DEOAGECF_00008	CDS	150				hypothetical protein
DEOAGECF_00009	CDS	438				hypothetical protein
DEOAGECF_00010	CDS	1122			COG0330	putative protein
DEOAGECF_00011	CDS	1377				hypothetical protein
DEOAGECF_00012	CDS	486				hypothetical protein
DEOAGECF_00013	CDS	2295				hypothetical protein
DEOAGECF_00014	CDS	618	betI_1			HTH-type transcriptional regulator BetI
DEOAGECF_00015	CDS	918	ybfK	3.1.1.1	COG0596	Carboxylesterase YbfK
DEOAGECF_00016	CDS	135				hypothetical protein
DEOAGECF_00017	CDS	567				hypothetical protein
DEOAGECF_00018	CDS	2718				hypothetical protein
DEOAGECF_00019	tRNA	74				tRNA-Gly(ccc)
DEOAGECF_00020	CDS	159				hypothetical protein
DEOAGECF_00021	CDS	576	dcd_1	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
DEOAGECF_00022	CDS	498	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
DEOAGECF_00023	CDS	957				hypothetical protein
DEOAGECF_00024	CDS	2283	fadF	1.-.-.-	COG0247	putative iron-sulfur-binding oxidoreductase FadF
DEOAGECF_00025	CDS	1119	wecA	2.7.8.33		Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
DEOAGECF_00026	CDS	1854	dnaK_1		COG0443	Chaperone protein DnaK
DEOAGECF_00027	CDS	687	grpE			Protein GrpE
DEOAGECF_00028	CDS	1191	dnaJ1		COG0484	Chaperone protein DnaJ 1
DEOAGECF_00029	CDS	468	hspR		COG0789	Putative heat shock protein HspR
DEOAGECF_00030	CDS	561				hypothetical protein
DEOAGECF_00031	CDS	1110	xylF_1		COG4213	D-xylose-binding periplasmic protein
DEOAGECF_00032	CDS	1038				hypothetical protein
DEOAGECF_00033	CDS	984				hypothetical protein
DEOAGECF_00034	CDS	1032				hypothetical protein
DEOAGECF_00035	CDS	189				hypothetical protein
DEOAGECF_00036	CDS	297				hypothetical protein
DEOAGECF_00037	CDS	2601	clpB			Chaperone protein ClpB
DEOAGECF_00038	CDS	537				hypothetical protein
DEOAGECF_00039	CDS	1209	dapC	2.6.1.17	COG0436	putative N-succinyldiaminopimelate aminotransferase DapC
DEOAGECF_00040	CDS	792				hypothetical protein
DEOAGECF_00041	CDS	537				hypothetical protein
DEOAGECF_00042	CDS	1710	speE_1	2.5.1.16		Polyamine aminopropyltransferase
DEOAGECF_00043	CDS	957				hypothetical protein
DEOAGECF_00044	CDS	969	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
DEOAGECF_00045	CDS	864				hypothetical protein
DEOAGECF_00046	CDS	789				hypothetical protein
DEOAGECF_00047	CDS	549	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
DEOAGECF_00048	CDS	1032	fba	4.1.2.13		Fructose-bisphosphate aldolase
DEOAGECF_00049	CDS	414				hypothetical protein
DEOAGECF_00050	CDS	816	kynA	1.13.11.11	COG3483	Tryptophan 2,3-dioxygenase
DEOAGECF_00051	CDS	1257	kynU	3.7.1.3		Kynureninase
DEOAGECF_00052	CDS	396				hypothetical protein
DEOAGECF_00053	CDS	906				hypothetical protein
DEOAGECF_00054	CDS	990				hypothetical protein
DEOAGECF_00055	CDS	1287				hypothetical protein
DEOAGECF_00056	CDS	1392				hypothetical protein
DEOAGECF_00057	CDS	684	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
DEOAGECF_00058	CDS	1425				hypothetical protein
DEOAGECF_00059	CDS	675	vraR_1			Response regulator protein VraR
DEOAGECF_00060	CDS	1221	pikC_1	1.14.15.33		Cytochrome P450 monooxygenase PikC
DEOAGECF_00061	CDS	1674			COG3559	Multidrug efflux system permease protein
DEOAGECF_00062	CDS	1032		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
DEOAGECF_00063	CDS	507				hypothetical protein
DEOAGECF_00064	CDS	417				hypothetical protein
DEOAGECF_00065	CDS	933				hypothetical protein
DEOAGECF_00066	CDS	1284	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
DEOAGECF_00067	CDS	492				hypothetical protein
DEOAGECF_00068	CDS	201				hypothetical protein
DEOAGECF_00069	CDS	876	sigJ_1			ECF RNA polymerase sigma factor SigJ
DEOAGECF_00070	CDS	291				hypothetical protein
DEOAGECF_00071	CDS	651				hypothetical protein
DEOAGECF_00072	CDS	702				hypothetical protein
DEOAGECF_00073	CDS	1356	davT_1	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
DEOAGECF_00074	CDS	612	ydeA	3.2.-.-	COG0693	putative protease YdeA
DEOAGECF_00075	CDS	468				hypothetical protein
DEOAGECF_00076	CDS	1863	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
DEOAGECF_00077	CDS	759				hypothetical protein
DEOAGECF_00078	CDS	342			COG0718	Nucleoid-associated protein
DEOAGECF_00079	CDS	600	recR		COG0353	Recombination protein RecR
DEOAGECF_00080	CDS	660				hypothetical protein
DEOAGECF_00081	CDS	1278	ask	2.7.2.4	COG0527	Aspartokinase
DEOAGECF_00082	CDS	1077	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
DEOAGECF_00083	CDS	576				hypothetical protein
DEOAGECF_00084	CDS	1194				hypothetical protein
DEOAGECF_00085	CDS	879				hypothetical protein
DEOAGECF_00086	CDS	1845	tolB			Tol-Pal system protein TolB
DEOAGECF_00087	CDS	1899				hypothetical protein
DEOAGECF_00088	CDS	510				hypothetical protein
DEOAGECF_00089	CDS	1530	yqiK		COG2268	Inner membrane protein YqiK
DEOAGECF_00090	CDS	1080				hypothetical protein
DEOAGECF_00091	CDS	309				hypothetical protein
DEOAGECF_00092	CDS	225				hypothetical protein
DEOAGECF_00093	CDS	498				hypothetical protein
DEOAGECF_00094	CDS	1131	strB1	2.1.4.2	COG1834	Inosamine-phosphate amidinotransferase 1
DEOAGECF_00095	CDS	300				hypothetical protein
DEOAGECF_00096	CDS	1521	nhaP_1			K(+)/H(+) antiporter NhaP
DEOAGECF_00097	CDS	1218				hypothetical protein
DEOAGECF_00098	CDS	588	rmlC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DEOAGECF_00099	CDS	1113	megDII	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
DEOAGECF_00100	CDS	1068	fcl	1.1.1.271		GDP-L-fucose synthase
DEOAGECF_00101	CDS	1335	oleV	4.2.1.159		dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase
DEOAGECF_00102	CDS	1050				hypothetical protein
DEOAGECF_00103	CDS	963	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
DEOAGECF_00104	CDS	1200				hypothetical protein
