#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_52_length_53648_cov_61.631229_40  -            417 932854at2            -           1620  4.3e-176  586.8   0.0   1   1  6.1e-179  4.8e-176  586.7   0.0     2   417     1   414     1   416 0.98 # 38907 # 40157 # -1 # ID=52_40;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.756
NODE_1_length_277192_cov_63.518373_22  -           1201 932854at2            -           1620   1.6e-36  124.2   0.0   1   2      0.77   6.1e+02   -3.7   0.0   600   642   465   504   463   519 0.72 # 20568 # 24170 # 1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.751
NODE_1_length_277192_cov_63.518373_22  -           1201 932854at2            -           1620   1.6e-36  124.2   0.0   2   2   4.1e-39   3.3e-36  123.2   0.0   731  1014   538   817   528   826 0.83 # 20568 # 24170 # 1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.751
NODE_52_length_53648_cov_61.631229_37  -            286 932854at2            -           1620   2.2e-20   70.7   0.0   1   2   2.1e-11   1.7e-08   31.3   0.0   514   687    34   197    24   202 0.84 # 35879 # 36736 # -1 # ID=52_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.744
NODE_52_length_53648_cov_61.631229_37  -            286 932854at2            -           1620   2.2e-20   70.7   0.0   2   2   2.6e-13   2.1e-10   37.6   0.0   754   817   204   283   198   285 0.96 # 35879 # 36736 # -1 # ID=52_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.744
NODE_1_length_277192_cov_63.518373_21  -            227 932854at2            -           1620   3.1e-15   53.7   0.0   1   1   5.4e-18   4.3e-15   53.2   0.0  1422  1598    45   205     2   211 0.82 # 19891 # 20571 # 1 # ID=1_21;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.718
NODE_92_length_33489_cov_63.071159_4   -            444 932854at2            -           1620   5.1e-07   26.4   0.0   1   2     3e-09   2.4e-06   24.2   0.0   103   208   110   220   108   226 0.88 # 3668 # 4999 # 1 # ID=92_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_92_length_33489_cov_63.071159_4   -            444 932854at2            -           1620   5.1e-07   26.4   0.0   2   2     0.074        59   -0.3   0.0   262   286   265   289   256   290 0.90 # 3668 # 4999 # 1 # ID=92_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_70_length_42981_cov_60.370981_12  -           1110 932854at2            -           1620   2.9e-05   20.6   0.0   1   2    0.0059       4.7    3.3   0.0   116   199   148   231   133   252 0.88 # 9693 # 13022 # -1 # ID=70_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.716
NODE_70_length_42981_cov_60.370981_12  -           1110 932854at2            -           1620   2.9e-05   20.6   0.0   2   2   1.7e-06    0.0014   15.0   0.0    69   200   647   776   601   779 0.84 # 9693 # 13022 # -1 # ID=70_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.716
NODE_152_length_17348_cov_55.051797_10 -            880 932854at2            -           1620   0.00069   16.0   0.0   1   1   1.2e-06   0.00095   15.6   0.0   103   190   220   305   214   315 0.84 # 11202 # 13841 # 1 # ID=152_10;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.781
