#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_66_length_34509_cov_93.199319_3    -            715 95696at2             -            490  1.7e-226  751.3   2.7   1   1  1.3e-227  7.9e-225  745.8   2.7     2   478    45   598    44   612 0.88 # 3031 # 5175 # -1 # ID=66_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.680
NODE_104_length_26119_cov_92.927170_15  -           1178 95696at2             -            490   7.8e-07   26.8   0.0   1   4      0.82     5e+02   -2.3   0.0    11    54    40    84    36    87 0.72 # 14445 # 17978 # -1 # ID=104_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.716
NODE_104_length_26119_cov_92.927170_15  -           1178 95696at2             -            490   7.8e-07   26.8   0.0   2   4   1.3e-06    0.0008   16.9   0.0   118   166   161   215   156   227 0.86 # 14445 # 17978 # -1 # ID=104_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.716
NODE_104_length_26119_cov_92.927170_15  -           1178 95696at2             -            490   7.8e-07   26.8   0.0   3   4       1.2   7.3e+02   -2.8   0.0   344   394   688   738   661   757 0.70 # 14445 # 17978 # -1 # ID=104_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.716
NODE_104_length_26119_cov_92.927170_15  -           1178 95696at2             -            490   7.8e-07   26.8   0.0   4   4    0.0025       1.5    6.1   0.0   358   434   862   932   845   965 0.73 # 14445 # 17978 # -1 # ID=104_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.716
NODE_9_length_97932_cov_87.750135_33    -            943 95696at2             -            490   2.4e-06   25.2   0.0   1   1   6.7e-09   4.1e-06   24.4   0.0   340   413   294   367   279   397 0.85 # 35279 # 38107 # 1 # ID=9_33;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.745
NODE_140_length_20239_cov_94.287639_12  -            737 95696at2             -            490     3e-06   24.9   1.1   1   3      0.12        74    0.5   0.0     2    47   300   348   299   353 0.70 # 10055 # 12265 # 1 # ID=140_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.720
NODE_140_length_20239_cov_94.287639_12  -            737 95696at2             -            490     3e-06   24.9   1.1   2   3       1.2   7.2e+02   -2.8   0.0   359   410   362   414   360   422 0.75 # 10055 # 12265 # 1 # ID=140_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.720
NODE_140_length_20239_cov_94.287639_12  -            737 95696at2             -            490     3e-06   24.9   1.1   3   3   3.1e-08   1.9e-05   22.2   0.0   359   434   551   622   538   640 0.84 # 10055 # 12265 # 1 # ID=140_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.720
NODE_191_length_12671_cov_69.011878_20  -            497 95696at2             -            490   8.8e-06   23.3   0.1   1   2      0.65     4e+02   -1.9   0.0     5    41   112   157   109   162 0.58 # 9641 # 11131 # -1 # ID=191_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.753
NODE_191_length_12671_cov_69.011878_20  -            497 95696at2             -            490   8.8e-06   23.3   0.1   2   2   4.1e-08   2.5e-05   21.8   0.0   337   419   308   392   297   423 0.87 # 9641 # 11131 # -1 # ID=191_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.753
NODE_19_length_70006_cov_65.772564_69   -            499 95696at2             -            490   9.8e-05   19.9   0.1   1   2      0.69   4.2e+02   -2.0   0.0     5    41   113   158   110   163 0.55 # 68352 # 69848 # -1 # ID=19_69;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.731
NODE_19_length_70006_cov_65.772564_69   -            499 95696at2             -            490   9.8e-05   19.9   0.1   2   2   4.4e-07   0.00027   18.4   0.0   337   419   309   393   295   419 0.88 # 68352 # 69848 # -1 # ID=19_69;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.731
NODE_31_length_56710_cov_86.508280_31   -            473 95696at2             -            490   0.00015   19.2   0.0   1   2      0.63   3.8e+02   -1.9   0.0     5    42    72   118    69   123 0.55 # 37572 # 38990 # 1 # ID=31_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_31_length_56710_cov_86.508280_31   -            473 95696at2             -            490   0.00015   19.2   0.0   2   2   7.7e-07   0.00047   17.6   0.0   337   412   268   343   256   367 0.90 # 37572 # 38990 # 1 # ID=31_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.739
NODE_46_length_40610_cov_91.837710_17   -            770 95696at2             -            490    0.0014   16.1   0.1   1   2      0.52   3.2e+02   -1.6   0.0     5    43   122   169   119   172 0.64 # 19899 # 22208 # 1 # ID=46_17;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.725
NODE_46_length_40610_cov_91.837710_17   -            770 95696at2             -            490    0.0014   16.1   0.1   2   2   7.5e-06    0.0045   14.4   0.0   335   419   316   402   297   420 0.83 # 19899 # 22208 # 1 # ID=46_17;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.725
NODE_188_length_12897_cov_93.619342_5   -            571 95696at2             -            490    0.0031   14.9   0.0   1   1   9.3e-06    0.0057   14.0   0.0   345   454   253   360   245   388 0.87 # 3437 # 5149 # 1 # ID=188_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.738
NODE_18_length_71546_cov_97.389896_66   -            534 95696at2             -            490    0.0053   14.2   0.0   1   2      0.54   3.3e+02   -1.7   0.0     5    41    91   136    88   141 0.58 # 69720 # 71321 # -1 # ID=18_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.755
NODE_18_length_71546_cov_97.389896_66   -            534 95696at2             -            490    0.0053   14.2   0.0   2   2   2.7e-05     0.017   12.5   0.0   337   413   287   363   275   387 0.88 # 69720 # 71321 # -1 # ID=18_66;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.755
NODE_108_length_24109_cov_91.399591_3   -            725 95696at2             -            490    0.0072   13.7   0.0   1   1     2e-05     0.012   12.9   0.0   340   438   260   353   248   359 0.90 # 1619 # 3793 # -1 # ID=108_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.731
NODE_199_length_11531_cov_107.968695_11 -            548 95696at2             -            490      0.01   13.2   0.2   1   2    0.0097       5.9    4.1   0.0     7    43   204   240   199   254 0.90 # 8110 # 9753 # -1 # ID=199_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.701
NODE_199_length_11531_cov_107.968695_11 -            548 95696at2             -            490      0.01   13.2   0.2   2   2    0.0012      0.76    7.0   0.0   366   436   433   499   411   530 0.79 # 8110 # 9753 # -1 # ID=199_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.701
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm
# Target file:     /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/run_bacteria_odb10/hmmer_output/95696at2.out --cpu 1 /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/95696at2.hmm /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/ntm1021/gen-711-final-project/69_assembly_output
# Date:            Fri May  3 15:32:17 2024
# [ok]
