#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_224_length_8765_cov_96.174925_4   -            568 665824at2            -            547  9.6e-215  713.2   0.0   1   1  1.2e-217  1.1e-214  713.0   0.0     2   538     8   564     7   567 0.97 # 2136 # 3839 # 1 # ID=224_4;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.715
NODE_119_length_22769_cov_76.329874_10 -            659 665824at2            -            547   3.4e-27   94.1   0.7   1   2   6.4e-17   5.9e-14   50.5   0.1    32   191   273   433   248   474 0.88 # 10184 # 12160 # -1 # ID=119_10;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.678
NODE_119_length_22769_cov_76.329874_10 -            659 665824at2            -            547   3.4e-27   94.1   0.7   2   2   2.3e-14   2.1e-11   42.0   0.1   393   545   504   654   485   656 0.87 # 10184 # 12160 # -1 # ID=119_10;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.678
NODE_18_length_71546_cov_97.389896_44  -            431 665824at2            -            547   2.3e-25   88.1   0.0   1   2   2.8e-18   2.5e-15   55.0   0.0    37   176    47   186    43   207 0.91 # 49211 # 50503 # -1 # ID=18_44;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.749
NODE_18_length_71546_cov_97.389896_44  -            431 665824at2            -            547   2.3e-25   88.1   0.0   2   2   4.9e-11   4.5e-08   31.1   0.0   400   525   278   399   271   421 0.84 # 49211 # 50503 # -1 # ID=18_44;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.749
NODE_193_length_12221_cov_94.641392_7  -            461 665824at2            -            547     3e-15   54.7   0.2   1   2   6.1e-07   0.00056   17.5   0.0    42   159    35   213    27   237 0.76 # 5434 # 6816 # -1 # ID=193_7;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
NODE_193_length_12221_cov_94.641392_7  -            461 665824at2            -            547     3e-15   54.7   0.2   2   2   2.9e-12   2.6e-09   35.1   0.0   442   533   356   445   349   457 0.88 # 5434 # 6816 # -1 # ID=193_7;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.675
NODE_40_length_45775_cov_94.921092_13  -            171 665824at2            -            547   1.4e-06   26.1   0.0   1   1   1.7e-09   1.5e-06   26.0   0.0   228   345    10   138     2   161 0.80 # 14216 # 14728 # 1 # ID=40_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.749
NODE_72_length_33146_cov_97.715527_33  -            167 665824at2            -            547   0.00017   19.2   0.0   1   1   2.1e-07   0.00019   19.1   0.0   255   353    42   144    11   160 0.85 # 28280 # 28780 # 1 # ID=72_33;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.745
NODE_78_length_32324_cov_90.111532_11  -            421 665824at2            -            547   0.00022   18.9   0.1   1   2     0.002       1.8    5.9   0.0    37   143     8   117     3   128 0.82 # 12099 # 13361 # 1 # ID=78_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.702
NODE_78_length_32324_cov_90.111532_11  -            421 665824at2            -            547   0.00022   18.9   0.1   2   2   5.5e-05     0.051   11.1   0.1   472   542   346   418   303   420 0.75 # 12099 # 13361 # 1 # ID=78_11;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.702
NODE_53_length_37919_cov_94.349465_24  -            413 665824at2            -            547     0.015   12.8   0.0   1   2   3.9e-05     0.036   11.6   0.0    62   211   173   322   164   332 0.87 # 23815 # 25053 # 1 # ID=53_24;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.707
NODE_53_length_37919_cov_94.349465_24  -            413 665824at2            -            547     0.015   12.8   0.0   2   2       1.4   1.3e+03   -3.5   0.0   425   447   373   396   356   400 0.78 # 23815 # 25053 # 1 # ID=53_24;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.707
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm
# Target file:     /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/run_bacteria_odb10/hmmer_output/665824at2.out --cpu 1 /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco_downloads/lineages/bacteria_odb10/hmms/665824at2.hmm /home/users/ntm1021/gen-711-final-project/69_assembly_output/busco-results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/users/ntm1021/gen-711-final-project/69_assembly_output
# Date:            Fri May  3 15:32:15 2024
# [ok]
