#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_87081_cov_92.841307_35 -            623 182107at2            -            492  6.7e-219  726.0   1.1   1   1  1.1e-220  6.9e-218  722.6   1.1     1   492    19   612    19   612 0.89 # 45599 # 47467 # -1 # ID=14_35;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.672
NODE_277_length_4543_cov_107.277174_2 -            661 182107at2            -            492   1.5e-38  131.2   0.6   1   3   1.3e-30   8.2e-28   95.7   0.2     1   127    32   182    32   192 0.83 # 2417 # 4399 # 1 # ID=277_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.686
NODE_277_length_4543_cov_107.277174_2 -            661 182107at2            -            492   1.5e-38  131.2   0.6   2   3   2.7e-07   0.00016   18.9   0.0   143   200   223   284   213   296 0.85 # 2417 # 4399 # 1 # ID=277_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.686
NODE_277_length_4543_cov_107.277174_2 -            661 182107at2            -            492   1.5e-38  131.2   0.6   3   3   1.8e-05     0.011   12.8   0.0   285   351   416   479   410   485 0.89 # 2417 # 4399 # 1 # ID=277_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.686
NODE_26_length_64407_cov_80.625591_43 -            709 182107at2            -            492   1.6e-38  131.0   0.5   1   3   9.4e-27   5.7e-24   83.0   0.0     1   134    11   166    11   190 0.85 # 43194 # 45320 # 1 # ID=26_43;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.661
NODE_26_length_64407_cov_80.625591_43 -            709 182107at2            -            492   1.6e-38  131.0   0.5   2   3   1.8e-11   1.1e-08   32.7   0.0   136   314   297   496   286   507 0.73 # 43194 # 45320 # 1 # ID=26_43;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.661
NODE_26_length_64407_cov_80.625591_43 -            709 182107at2            -            492   1.6e-38  131.0   0.5   3   3   0.00087      0.53    7.3   0.0   322   356   615   649   603   658 0.88 # 43194 # 45320 # 1 # ID=26_43;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=11-12bp;gc_cont=0.661
NODE_5_length_122194_cov_87.922452_41 -            682 182107at2            -            492   3.4e-34  116.8   0.0   1   4   3.8e-27   2.3e-24   84.3   0.0     1   126    11   154    11   180 0.84 # 47606 # 49651 # -1 # ID=5_41;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.743
NODE_5_length_122194_cov_87.922452_41 -            682 182107at2            -            492   3.4e-34  116.8   0.0   2   4      0.38   2.3e+02   -1.4   0.0   134   158   257   281   235   286 0.81 # 47606 # 49651 # -1 # ID=5_41;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.743
NODE_5_length_122194_cov_87.922452_41 -            682 182107at2            -            492   3.4e-34  116.8   0.0   3   4   6.6e-08     4e-05   20.9   0.0   232   314   400   479   294   484 0.66 # 47606 # 49651 # -1 # ID=5_41;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.743
NODE_5_length_122194_cov_87.922452_41 -            682 182107at2            -            492   3.4e-34  116.8   0.0   4   4     0.011       6.9    3.6   0.0   322   350   596   624   590   629 0.88 # 47606 # 49651 # -1 # ID=5_41;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.743
NODE_69_length_33838_cov_82.967488_26 -            614 182107at2            -            492   2.6e-24   84.2   1.6   1   1   9.4e-27   5.7e-24   83.0   1.6     5   195   112   320   110   331 0.84 # 31732 # 33573 # -1 # ID=69_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
NODE_25_length_65002_cov_94.531977_9  -            632 182107at2            -            492   1.2e-22   78.6   0.0   1   2   1.8e-23   1.1e-20   72.2   0.0     3   128    14   157    12   177 0.81 # 7733 # 9628 # 1 # ID=25_9;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.757
