#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_34_length_74114_cov_65.743874_37  -            697 219876at2            -            282   2.6e-97  324.6   0.0   1   1  8.4e-100   4.9e-97  323.6   0.0    13   276   351   671   346   675 0.86 # 41047 # 43137 # 1 # ID=34_37;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.689
NODE_96_length_32290_cov_63.046140_16  -            264 219876at2            -            282   1.4e-06   26.9   0.0   1   1   4.9e-09   2.9e-06   25.8   0.0    40   103   107   182    98   188 0.75 # 17164 # 17955 # 1 # ID=96_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.679
NODE_4_length_180575_cov_64.125859_16  -            265 219876at2            -            282   2.7e-06   25.9   0.0   1   1   7.8e-09   4.6e-06   25.2   0.0    46   104   111   183    94   189 0.78 # 14696 # 15490 # -1 # ID=4_16;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.681
NODE_157_length_15991_cov_56.492121_14 -            301 219876at2            -            282   0.00076   17.9   0.1   1   3   2.8e-05     0.016   13.5   0.0    35    69    34    66    29    74 0.82 # 10491 # 11393 # 1 # ID=157_14;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.765
NODE_157_length_15991_cov_56.492121_14 -            301 219876at2            -            282   0.00076   17.9   0.1   2   3       2.5   1.5e+03   -2.7   0.1    97   112   138   153   133   160 0.85 # 10491 # 11393 # 1 # ID=157_14;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.765
NODE_157_length_15991_cov_56.492121_14 -            301 219876at2            -            282   0.00076   17.9   0.1   3   3      0.13        74    1.5   0.0   121   176   181   231   175   248 0.76 # 10491 # 11393 # 1 # ID=157_14;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.765
NODE_175_length_12272_cov_44.488267_8  -            288 219876at2            -            282    0.0074   14.6   0.1   1   2   3.1e-05     0.018   13.4   0.0    38    70    27    59    19    69 0.84 # 8995 # 9858 # 1 # ID=175_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
NODE_175_length_12272_cov_44.488267_8  -            288 219876at2            -            282    0.0074   14.6   0.1   2   2       2.1   1.2e+03   -2.5   0.0   144   173   190   219   159   250 0.58 # 8995 # 9858 # 1 # ID=175_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.714
NODE_199_length_8336_cov_59.657084_3   -            669 219876at2            -            282     0.011   14.1   0.0   1   1   3.7e-05     0.021   13.1   0.0    47    87   196   238   184   248 0.76 # 1700 # 3706 # 1 # ID=199_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.679
NODE_138_length_19977_cov_56.091083_13 -            841 219876at2            -            282     0.023   13.0   0.0   1   3     0.014       8.4    4.6   0.0    44    69   228   253   212   256 0.72 # 13066 # 15588 # 1 # ID=138_13;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.746
NODE_138_length_19977_cov_56.091083_13 -            841 219876at2            -            282     0.023   13.0   0.0   2   3     0.012       7.1    4.9   0.0    50    69   568   587   563   607 0.86 # 13066 # 15588 # 1 # ID=138_13;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.746
