# BUSCO version is: 5.3.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_56_length_48730_cov_65.049791	20496	24374	+	1662.0	1104	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_56_length_48730_cov_65.049791	17006	20482	+	1279.2	793	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_1_length_277192_cov_63.518373	20568	24170	+	332.4	408	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Duplicated	NODE_77_length_40321_cov_59.510176	37205	39874	+	523.9	550	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
91428at2	Duplicated	NODE_59_length_46976_cov_60.733762	2	2641	-	502.9	521	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_51_length_54065_cov_58.076829	35019	37127	+	742.4	476	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_102_length_29670_cov_61.102021	5899	7752	-	522.8	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_64_length_45262_cov_58.598737	22397	24220	+	728.0	490	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_34_length_74114_cov_65.743874	41047	43137	+	324.6	263	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_16_length_105560_cov_65.833145	8685	11387	+	507.0	436	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_77_length_40321_cov_59.510176	25699	27462	-	567.0	471	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_52_length_53648_cov_61.631229	42691	43974	-	326.4	294	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_1_length_277192_cov_63.518373	31162	32616	+	268.3	287	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_24_length_89965_cov_63.569392	26697	27917	-	355.2	349	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_84_length_38109_cov_60.300247	883	1947	-	194.1	201	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_103_length_28957_cov_57.438085	26994	28271	+	321.7	315	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_3_length_180888_cov_65.292917	45273	46703	-	558.1	380	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_14_length_109822_cov_58.380127	69210	70397	-	158.3	198	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_103_length_28957_cov_57.438085	11374	12483	+	378.4	292	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_83_length_38306_cov_61.714503	34419	35987	+	300.8	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_88_length_36671_cov_64.016528	7097	8530	-	193.1	236	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_9_length_125761_cov_62.655993	68468	69751	+	378.4	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_6_length_148173_cov_63.837138	141827	142840	+	263.2	227	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_20_length_96238_cov_62.784884	75919	77616	-	661.2	541	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Duplicated	NODE_121_length_23664_cov_58.517016	4663	6459	-	149.3	272	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
761140at2	Duplicated	NODE_8_length_125804_cov_59.572993	55061	56494	+	130.4	248	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_50_length_54447_cov_57.719919	22215	22877	+	234.1	202	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_3_length_180888_cov_65.292917	47610	49247	-	638.9	409	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_33_length_74197_cov_63.246456	9168	10250	-	136.6	182	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_77_length_40321_cov_59.510176	17724	18791	+	382.5	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_1_length_277192_cov_63.518373	32762	33790	+	385.0	308	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_52_length_53648_cov_61.631229	38907	40157	-	586.8	415	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_59_length_46976_cov_60.733762	18625	20151	+	73.8	247	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_56_length_48730_cov_65.049791	46766	47599	+	229.8	167	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_129_length_21457_cov_56.876934	2816	3994	+	248.9	256	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_207_length_7331_cov_39.404081	4676	5611	+	208.9	210	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_178_length_11405_cov_54.969941	17	1255	-	254.9	221	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_70_length_42981_cov_60.370981	2661	3854	-	425.7	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_14_length_109822_cov_58.380127	77261	79321	-	252.3	320	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_97_length_32061_cov_60.614674	1262	2059	+	149.4	161	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_39_length_67018_cov_59.855317	6562	8169	+	555.1	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_65_length_45107_cov_60.486772	37712	38788	-	394.6	327	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_31_length_78424_cov_60.740067	5047	5970	-	142.0	186	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
